Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'P3alphaRecommender']
Iteration 115. Result MAP=0.031992  Configuration tried: [0.55, 0.5, 0.3, 0.5, 0.3, 0.4].
Iteration 116. Result MAP=0.040625  Configuration tried: [0.7, 0.5, 0.2, 0.3, 0.1, 0.5].
Iteration 117. Result MAP=0.026177  Configuration tried: [0.55, 0.4, 0.5, 0.1, 0.5, 0.2].
Iteration 118. Result MAP=0.030042  Configuration tried: [0.55, 0.3, 0.1, 0.3, 0.3, 0.5].
Iteration 119. Result MAP=0.027139  Configuration tried: [0.7, 0.4, 0.3, 0.5, 0.5, 0.1].
Iteration 120. Result MAP=0.030880  Configuration tried: [0.5, 0.5, 0.4, 0.3, 0.3, 0.4].
Iteration 121. Result MAP=0.028323  Configuration tried: [0.65, 0.4, 0.5, 0.3, 0.4, 0.3].
Iteration 122. Result MAP=0.026354  Configuration tried: [0.65, 0.4, 0.1, 0.1, 0.5, 0.1].
Iteration 123. Result MAP=0.027076  Configuration tried: [0.7, 0.4, 0.5, 0.2, 0.5, 0.4].
Iteration 124. Result MAP=0.033273  Configuration tried: [0.5, 0.3, 0.3, 0.4, 0.2, 0.3].
Iteration 125. Result MAP=0.032333  Configuration tried: [0.5, 0.4, 0.3, 0.3, 0.2, 0.1].
Iteration 126. Result MAP=0.039963  Configuration tried: [0.55, 0.5, 0.5, 0.4, 0.1, 0.1].
Iteration 127. Result MAP=0.026995  Configuration tried: [0.7, 0.4, 0.3, 0.3, 0.5, 0.3].
Iteration 128. Result MAP=0.027105  Configuration tried: [0.5, 0.3, 0.1, 0.2, 0.4, 0.4].
Iteration 129. Result MAP=0.031270  Configuration tried: [0.55, 0.6, 0.5, 0.3, 0.3, 0.2].
Iteration 130. Result MAP=0.030148  Configuration tried: [0.65, 0.5, 0.1, 0.1, 0.3, 0.3].
Iteration 131. Result MAP=0.026005  Configuration tried: [0.7, 0.3, 0.2, 0.2, 0.5, 0.1].
Iteration 132. Result MAP=0.040269  Configuration tried: [0.65, 0.6, 0.4, 0.2, 0.1, 0.2].
Iteration 133. Result MAP=0.041106  Configuration tried: [0.5, 0.6, 0.1, 0.5, 0.1, 0.5].
Iteration 134. Result MAP=0.040348  Configuration tried: [0.7, 0.6, 0.5, 0.2, 0.1, 0.2].
Iteration 135. Result MAP=0.030129  Configuration tried: [0.7, 0.3, 0.3, 0.5, 0.3, 0.1].
Iteration 136. Result MAP=0.027012  Configuration tried: [0.5, 0.4, 0.3, 0.3, 0.5, 0.5].
Iteration 137. Result MAP=0.034458  Configuration tried: [0.6, 0.45, 0.1, 0.5, 0.2, 0.1].
Iteration 138. Result MAP=0.033659  Configuration tried: [0.5, 0.3, 0.5, 0.4, 0.2, 0.3].
Iteration 139. Result MAP=0.028953  Configuration tried: [0.5, 0.3, 0.2, 0.1, 0.3, 0.5].
Iteration 140. Result MAP=0.027248  Configuration tried: [0.55, 0.45, 0.3, 0.1, 0.4, 0.2].
Iteration 141. Result MAP=0.029894  Configuration tried: [0.7, 0.45, 0.4, 0.4, 0.4, 0.5].
Iteration 142. Result MAP=0.029147  Configuration tried: [0.5, 0.45, 0.3, 0.5, 0.4, 0.4].
Iteration 143. Result MAP=0.034857  Configuration tried: [0.65, 0.6, 0.2, 0.3, 0.2, 0.1].
Iteration 144. Result MAP=0.029926  Configuration tried: [0.65, 0.5, 0.5, 0.2, 0.3, 0.1].
Iteration 145. Result MAP=0.038427  Configuration tried: [0.6, 0.3, 0.3, 0.4, 0.1, 0.1].
Iteration 146. Result MAP=0.026315  Configuration tried: [0.55, 0.3, 0.1, 0.5, 0.5, 0.1].
Iteration 147. Result MAP=0.030228  Configuration tried: [0.6, 0.3, 0.1, 0.3, 0.3, 0.5].
Iteration 148. Result MAP=0.035939  Configuration tried: [0.65, 0.6, 0.4, 0.4, 0.2, 0.3].
Iteration 149. Result MAP=0.032349  Configuration tried: [0.55, 0.4, 0.2, 0.2, 0.2, 0.2].


FINAL RESULT: 
Best config is [0.7, 0.6, 0.3, 0.5, 0.1, 0.4] with an incredible MAP of 0.041296
