Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 142. Result MAP=0.044191  Configuration tried: [1, 0.8, 0.5, 1, 0.1, 0.5].
Iteration 143. Result MAP=0.044069  Configuration tried: [0.7, 0.7, 0.1, 0.5, 0.1, 0.6].
Iteration 144. Result MAP=0.043594  Configuration tried: [0.9, 1, 0.1, 1, 0.3, 0.7].
Iteration 145. Result MAP=0.044102  Configuration tried: [1, 0.6, 0.3, 0.6, 0.1, 0.6].
Iteration 146. Result MAP=0.044005  Configuration tried: [0.7, 1, 0.3, 0.7, 0.15, 0.3].
Iteration 147. Result MAP=0.043416  Configuration tried: [1, 1, 0.5, 0.6, 0.05, 0.3].
Iteration 148. Result MAP=0.044302  Configuration tried: [0.7, 0.7, 0.3, 0.9, 0.1, 0.4].
Iteration 149. Result MAP=0.044071  Configuration tried: [0.7, 0.5, 0.5, 1, 0.1, 0.7].
Iteration 150. Result MAP=0.043851  Configuration tried: [0.6, 0.5, 0.4, 0.6, 0.15, 0.4].
Iteration 151. Result MAP=0.042881  Configuration tried: [0.6, 0.6, 0.1, 0.7, 0.3, 0.3].
Iteration 152. Result MAP=0.043285  Configuration tried: [0.8, 0.6, 0.3, 0.8, 0.3, 0.5].
Iteration 153. Result MAP=0.042906  Configuration tried: [0.7, 0.5, 0.5, 0.7, 0.3, 0.3].
Iteration 154. Result MAP=0.044060  Configuration tried: [1, 0.6, 0.5, 0.8, 0.15, 0.6].
Iteration 155. Result MAP=0.043645  Configuration tried: [0.5, 0.5, 0.3, 1, 0.2, 0.4].
Iteration 156. Result MAP=0.042891  Configuration tried: [0.5, 0.6, 0.1, 0.9, 0.3, 0.3].
Iteration 157. Result MAP=0.043357  Configuration tried: [0.6, 0.9, 0.1, 0.9, 0.3, 0.7].
Iteration 158. Result MAP=0.044219  Configuration tried: [0.8, 0.6, 0.4, 0.7, 0.1, 0.3].
Iteration 159. Result MAP=0.043652  Configuration tried: [0.8, 0.7, 0.2, 0.5, 0.2, 0.5].
Iteration 160. Result MAP=0.043740  Configuration tried: [0.9, 0.9, 0.3, 0.5, 0.2, 0.4].
Iteration 161. Result MAP=0.043905  Configuration tried: [0.6, 0.9, 0.3, 0.7, 0.15, 0.7].
Iteration 162. Result MAP=0.043839  Configuration tried: [0.7, 0.9, 0.3, 0.9, 0.1, 0.3].
Iteration 163. Result MAP=0.044143  Configuration tried: [0.7, 0.8, 0.3, 0.8, 0.15, 0.5].
Iteration 164. Result MAP=0.044020  Configuration tried: [0.7, 0.5, 0.5, 0.5, 0.1, 0.4].
Iteration 165. Result MAP=0.042299  Configuration tried: [0.6, 0.6, 0.1, 1, 0.4, 0.4].
Iteration 166. Result MAP=0.044088  Configuration tried: [1, 0.7, 0.2, 0.9, 0.05, 0.6].
Iteration 167. Result MAP=0.043227  Configuration tried: [0.7, 1, 0.4, 1, 0.4, 0.6].
Iteration 168. Result MAP=0.044163  Configuration tried: [1, 0.8, 0.3, 0.9, 0.15, 0.6].
Iteration 169. Result MAP=0.044024  Configuration tried: [1, 1, 0.3, 0.8, 0.15, 0.7].
Iteration 170. Result MAP=0.044030  Configuration tried: [1, 0.7, 0.5, 0.6, 0.15, 0.7].
Iteration 171. Result MAP=0.044146  Configuration tried: [0.8, 0.8, 0.1, 1, 0.15, 0.7].
Iteration 172. Result MAP=0.044219  Configuration tried: [1, 0.7, 0.3, 0.9, 0.15, 0.4].
Iteration 173. Result MAP=0.043742  Configuration tried: [0.9, 0.8, 0.4, 0.8, 0.05, 0.3].
Iteration 174. Result MAP=0.043573  Configuration tried: [1, 0.8, 0.3, 0.7, 0.3, 0.5].
Iteration 175. Result MAP=0.044217  Configuration tried: [0.7, 0.6, 0.4, 1, 0.05, 0.4].
