Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 243. Result MAP=0.043819  Configuration tried: [0.6, 1, 0.1, 0.6, 0.15, 0.3].
Iteration 244. Result MAP=0.043790  Configuration tried: [0.6, 0.7, 0.5, 0.8, 0.05, 0.4].
Iteration 245. Result MAP=0.044013  Configuration tried: [0.6, 0.8, 0.4, 0.7, 0.1, 0.4].
Iteration 246. Result MAP=0.043731  Configuration tried: [0.7, 0.9, 0.1, 0.8, 0.2, 0.5].
Iteration 247. Result MAP=0.043284  Configuration tried: [0.6, 0.6, 0.1, 1, 0.3, 0.5].
Iteration 248. Result MAP=0.043583  Configuration tried: [1, 0.5, 0.2, 0.6, 0.2, 0.4].
Iteration 249. Result MAP=0.044046  Configuration tried: [0.5, 0.6, 0.1, 0.5, 0.1, 0.5].
Iteration 250. Result MAP=0.043363  Configuration tried: [0.6, 0.9, 0.1, 0.9, 0.05, 0.6].
Iteration 251. Result MAP=0.043691  Configuration tried: [1, 0.5, 0.5, 0.6, 0.2, 0.5].
Iteration 252. Result MAP=0.043498  Configuration tried: [1, 0.6, 0.4, 0.8, 0.3, 0.4].
Iteration 253. Result MAP=0.044026  Configuration tried: [0.8, 0.9, 0.1, 0.9, 0.1, 0.3].
Iteration 254. Result MAP=0.044037  Configuration tried: [1, 0.6, 0.5, 0.7, 0.05, 0.4].
Iteration 255. Result MAP=0.043511  Configuration tried: [0.8, 0.8, 0.4, 0.6, 0.3, 0.6].
Iteration 256. Result MAP=0.043139  Configuration tried: [0.7, 1, 0.5, 0.8, 0.4, 0.5].
Iteration 257. Result MAP=0.043833  Configuration tried: [0.8, 0.8, 0.3, 0.7, 0.05, 0.7].
Iteration 258. Result MAP=0.042719  Configuration tried: [0.5, 0.9, 0.4, 0.8, 0.4, 0.7].
Iteration 259. Result MAP=0.044098  Configuration tried: [0.7, 0.7, 0.3, 1, 0.05, 0.5].
Iteration 260. Result MAP=0.043780  Configuration tried: [0.7, 0.9, 0.1, 0.7, 0.2, 0.4].
Iteration 261. Result MAP=0.044260  Configuration tried: [1, 0.7, 0.5, 0.9, 0.1, 0.3].
Iteration 262. Result MAP=0.043962  Configuration tried: [1, 0.6, 0.2, 0.5, 0.15, 0.4].
Iteration 263. Result MAP=0.043949  Configuration tried: [0.8, 1, 0.1, 0.9, 0.1, 0.6].
Iteration 264. Result MAP=0.044155  Configuration tried: [0.8, 0.6, 0.1, 0.9, 0.1, 0.6].
Iteration 265. Result MAP=0.044103  Configuration tried: [1, 0.9, 0.4, 0.8, 0.1, 0.7].
Iteration 266. Result MAP=0.044287  Configuration tried: [0.7, 0.5, 0.3, 0.9, 0.1, 0.3].
Iteration 267. Result MAP=0.044108  Configuration tried: [0.9, 0.5, 0.1, 0.6, 0.1, 0.4].
Iteration 268. Result MAP=0.042812  Configuration tried: [0.5, 0.5, 0.3, 0.9, 0.3, 0.7].
Iteration 269. Result MAP=0.043351  Configuration tried: [0.8, 1, 0.2, 0.6, 0.05, 0.7].
Iteration 270. Result MAP=0.043780  Configuration tried: [0.9, 0.5, 0.5, 0.9, 0.2, 0.5].
Iteration 271. Result MAP=0.043281  Configuration tried: [0.8, 1, 0.2, 0.7, 0.05, 0.3].
Iteration 272. Result MAP=0.044034  Configuration tried: [0.9, 0.6, 0.1, 0.5, 0.1, 0.4].
Iteration 273. Result MAP=0.043476  Configuration tried: [0.5, 0.7, 0.2, 0.6, 0.05, 0.3].
Iteration 274. Result MAP=0.043980  Configuration tried: [0.5, 0.7, 0.2, 1, 0.15, 0.7].
Iteration 275. Result MAP=0.042838  Configuration tried: [1, 0.7, 0.5, 0.5, 0.4, 0.3].
Iteration 276. Result MAP=0.043762  Configuration tried: [0.7, 1, 0.2, 0.7, 0.2, 0.6].
Iteration 277. Result MAP=0.043136  Configuration tried: [1, 0.8, 0.5, 0.9, 0.4, 0.4].
Iteration 278. Result MAP=0.042233  Configuration tried: [0.6, 0.6, 0.1, 0.9, 0.4, 0.6].
Iteration 279. Result MAP=0.043641  Configuration tried: [1, 0.5, 0.1, 0.8, 0.2, 0.6].
Iteration 280. Result MAP=0.043597  Configuration tried: [0.5, 0.5, 0.1, 1, 0.2, 0.4].
Iteration 281. Result MAP=0.044218  Configuration tried: [0.9, 0.5, 0.2, 0.7, 0.1, 0.6].
Iteration 282. Result MAP=0.044092  Configuration tried: [0.8, 0.9, 0.2, 0.8, 0.15, 0.4].
Iteration 283. Result MAP=0.043840  Configuration tried: [0.5, 0.7, 0.4, 0.6, 0.15, 0.7].
Iteration 284. Result MAP=0.043908  Configuration tried: [1, 0.9, 0.4, 0.5, 0.2, 0.3].
Iteration 285. Result MAP=0.043054  Configuration tried: [0.7, 0.5, 0.4, 0.8, 0.3, 0.6].
Iteration 286. Result MAP=0.043833  Configuration tried: [0.8, 0.8, 0.4, 0.7, 0.2, 0.3].
Iteration 287. Result MAP=0.043776  Configuration tried: [0.7, 1, 0.5, 0.9, 0.1, 0.6].
Iteration 288. Result MAP=0.044089  Configuration tried: [0.7, 0.6, 0.3, 0.5, 0.1, 0.5].
Iteration 289. Result MAP=0.043800  Configuration tried: [1, 1, 0.5, 0.7, 0.1, 0.4].
Iteration 290. Result MAP=0.044089  Configuration tried: [0.7, 0.5, 0.1, 0.9, 0.05, 0.7].
Iteration 291. Result MAP=0.044000  Configuration tried: [0.6, 0.7, 0.2, 0.7, 0.15, 0.3].
Iteration 292. Result MAP=0.043896  Configuration tried: [0.6, 1, 0.4, 1, 0.2, 0.6].
Iteration 293. Result MAP=0.043620  Configuration tried: [0.9, 0.9, 0.3, 0.6, 0.05, 0.5].
Iteration 294. Result MAP=0.043356  Configuration tried: [0.5, 0.8, 0.4, 0.9, 0.3, 0.6].
Iteration 295. Result MAP=0.042056  Configuration tried: [0.9, 0.5, 0.4, 0.5, 0.4, 0.4].
Iteration 296. Result MAP=0.042831  Configuration tried: [0.7, 0.5, 0.5, 0.5, 0.3, 0.7].
Iteration 297. Result MAP=0.044061  Configuration tried: [1, 0.9, 0.4, 0.8, 0.1, 0.4].
Iteration 298. Result MAP=0.043862  Configuration tried: [1, 0.7, 0.4, 0.8, 0.2, 0.7].
Iteration 299. Result MAP=0.044101  Configuration tried: [0.7, 0.6, 0.4, 0.5, 0.1, 0.5].
Iteration 300. Result MAP=0.043353  Configuration tried: [0.9, 0.6, 0.1, 0.9, 0.3, 0.7].
Iteration 301. Result MAP=0.044298  Configuration tried: [0.8, 0.8, 0.4, 0.9, 0.15, 0.3].
Iteration 302. Result MAP=0.042501  Configuration tried: [0.8, 0.7, 0.1, 0.5, 0.4, 0.4].
Iteration 303. Result MAP=0.042868  Configuration tried: [0.7, 1, 0.4, 0.5, 0.4, 0.7].
Iteration 304. Result MAP=0.043781  Configuration tried: [0.5, 0.7, 0.3, 0.9, 0.2, 0.5].
Iteration 305. Result MAP=0.043742  Configuration tried: [1, 1, 0.3, 1, 0.05, 0.4].
Iteration 306. Result MAP=0.043486  Configuration tried: [1, 0.7, 0.1, 1, 0.3, 0.7].
Iteration 307. Result MAP=0.043593  Configuration tried: [0.8, 1, 0.5, 0.8, 0.3, 0.6].
Iteration 308. Result MAP=0.043940  Configuration tried: [0.9, 0.8, 0.2, 1, 0.2, 0.6].
Iteration 309. Result MAP=0.043904  Configuration tried: [0.9, 0.9, 0.5, 0.8, 0.2, 0.7].
Iteration 310. Result MAP=0.041831  Configuration tried: [0.5, 0.5, 0.3, 0.8, 0.4, 0.3].
Iteration 311. Result MAP=0.043596  Configuration tried: [0.7, 0.8, 0.5, 0.9, 0.3, 0.7].
Iteration 312. Result MAP=0.044011  Configuration tried: [0.6, 0.8, 0.2, 0.7, 0.1, 0.6].
Iteration 313. Result MAP=0.043667  Configuration tried: [0.7, 0.9, 0.1, 0.5, 0.2, 0.5].
Iteration 314. Result MAP=0.044100  Configuration tried: [0.8, 0.7, 0.3, 0.5, 0.1, 0.3].
Iteration 315. Result MAP=0.042027  Configuration tried: [0.6, 0.6, 0.4, 0.6, 0.4, 0.5].
Iteration 316. Result MAP=0.043709  Configuration tried: [0.7, 0.8, 0.1, 0.9, 0.05, 0.7].
Iteration 317. Result MAP=0.042922  Configuration tried: [0.9, 0.7, 0.4, 0.9, 0.4, 0.3].
Iteration 318. Result MAP=0.044086  Configuration tried: [1, 0.5, 0.5, 0.5, 0.1, 0.4].
Iteration 319. Result MAP=0.044121  Configuration tried: [0.9, 0.5, 0.1, 0.8, 0.1, 0.5].
Iteration 320. Result MAP=0.042408  Configuration tried: [0.9, 0.5, 0.3, 1, 0.4, 0.7].
Iteration 321. Result MAP=0.043993  Configuration tried: [0.8, 0.7, 0.3, 0.6, 0.15, 0.7].
Iteration 322. Result MAP=0.043933  Configuration tried: [0.7, 0.9, 0.4, 0.9, 0.2, 0.7].
Iteration 323. Result MAP=0.043481  Configuration tried: [0.5, 0.7, 0.1, 0.5, 0.2, 0.6].
Iteration 324. Result MAP=0.043165  Configuration tried: [0.8, 0.6, 0.2, 0.7, 0.3, 0.4].
Iteration 325. Result MAP=0.043696  Configuration tried: [0.7, 0.7, 0.2, 0.7, 0.2, 0.6].
Iteration 326. Result MAP=0.043703  Configuration tried: [0.5, 0.7, 0.3, 0.7, 0.05, 0.6].
Iteration 327. Result MAP=0.043840  Configuration tried: [0.7, 0.6, 0.5, 0.7, 0.2, 0.4].
Iteration 328. Result MAP=0.043177  Configuration tried: [0.9, 1, 0.2, 0.6, 0.4, 0.3].
Iteration 329. Result MAP=0.043405  Configuration tried: [0.9, 1, 0.4, 0.7, 0.05, 0.3].
Iteration 330. Result MAP=0.043640  Configuration tried: [0.8, 1, 0.1, 0.5, 0.2, 0.3].
Iteration 331. Result MAP=0.043300  Configuration tried: [0.8, 1, 0.2, 1, 0.4, 0.5].
Iteration 332. Result MAP=0.043017  Configuration tried: [0.8, 0.8, 0.4, 1, 0.4, 0.6].
Iteration 333. Result MAP=0.043881  Configuration tried: [0.5, 0.8, 0.1, 0.5, 0.1, 0.7].
Iteration 334. Result MAP=0.044132  Configuration tried: [0.7, 0.5, 0.2, 0.9, 0.05, 0.7].
Iteration 335. Result MAP=0.043157  Configuration tried: [0.5, 0.9, 0.4, 0.6, 0.05, 0.5].
Iteration 336. Result MAP=0.044034  Configuration tried: [0.9, 1, 0.2, 0.8, 0.1, 0.7].
Iteration 337. Result MAP=0.043156  Configuration tried: [0.5, 0.8, 0.1, 0.7, 0.3, 0.7].
Iteration 338. Result MAP=0.042875  Configuration tried: [0.5, 1, 0.2, 0.6, 0.05, 0.6].
Iteration 339. Result MAP=0.044008  Configuration tried: [0.6, 0.7, 0.1, 0.7, 0.1, 0.7].
Iteration 340. Result MAP=0.043328  Configuration tried: [0.9, 1, 0.4, 0.8, 0.4, 0.3].
Iteration 341. Result MAP=0.043455  Configuration tried: [0.8, 0.8, 0.2, 0.7, 0.3, 0.7].
Iteration 342. Result MAP=0.043621  Configuration tried: [1, 1, 0.4, 0.7, 0.3, 0.5].
Iteration 343. Result MAP=0.043436  Configuration tried: [0.9, 0.6, 0.3, 0.9, 0.3, 0.3].
Iteration 344. Result MAP=0.044081  Configuration tried: [0.6, 0.6, 0.5, 0.7, 0.05, 0.6].
Iteration 345. Result MAP=0.043800  Configuration tried: [0.7, 0.5, 0.4, 1, 0.2, 0.3].
Iteration 346. Result MAP=0.043608  Configuration tried: [0.6, 1, 0.2, 0.5, 0.1, 0.5].
Iteration 347. Result MAP=0.043904  Configuration tried: [0.8, 0.6, 0.2, 0.5, 0.15, 0.4].
Iteration 348. Result MAP=0.042053  Configuration tried: [0.5, 0.5, 0.5, 1, 0.4, 0.7].
Iteration 349. Result MAP=0.043392  Configuration tried: [0.7, 0.9, 0.5, 0.7, 0.05, 0.6].
Iteration 350. Result MAP=0.043426  Configuration tried: [0.8, 0.9, 0.1, 0.7, 0.05, 0.3].
Iteration 351. Result MAP=0.044002  Configuration tried: [0.8, 0.9, 0.3, 0.6, 0.15, 0.7].
Iteration 352. Result MAP=0.044206  Configuration tried: [0.8, 0.8, 0.5, 0.9, 0.1, 0.3].
Iteration 353. Result MAP=0.042692  Configuration tried: [0.8, 0.7, 0.2, 0.8, 0.4, 0.4].
Iteration 354. Result MAP=0.044151  Configuration tried: [0.8, 1, 0.1, 1, 0.15, 0.3].
Iteration 355. Result MAP=0.042755  Configuration tried: [0.5, 1, 0.1, 0.6, 0.05, 0.3].
Iteration 356. Result MAP=0.043423  Configuration tried: [0.6, 0.9, 0.5, 0.7, 0.05, 0.7].
Iteration 357. Result MAP=0.043939  Configuration tried: [0.6, 0.6, 0.3, 0.6, 0.15, 0.3].
Iteration 358. Result MAP=0.043269  Configuration tried: [0.7, 0.9, 0.5, 0.5, 0.3, 0.7].
Iteration 359. Result MAP=0.042734  Configuration tried: [0.6, 0.9, 0.3, 0.8, 0.4, 0.3].
Iteration 360. Result MAP=0.043453  Configuration tried: [1, 1, 0.4, 0.9, 0.4, 0.4].
Iteration 361. Result MAP=0.043777  Configuration tried: [0.9, 0.9, 0.3, 0.6, 0.2, 0.5].
Iteration 362. Result MAP=0.043294  Configuration tried: [0.7, 0.6, 0.3, 0.9, 0.3, 0.3].
Iteration 363. Result MAP=0.043670  Configuration tried: [0.6, 0.5, 0.4, 0.7, 0.2, 0.3].
Iteration 364. Result MAP=0.042276  Configuration tried: [0.6, 0.6, 0.5, 0.8, 0.4, 0.4].
Iteration 365. Result MAP=0.043592  Configuration tried: [0.8, 0.6, 0.4, 0.5, 0.2, 0.6].
Iteration 366. Result MAP=0.043295  Configuration tried: [0.5, 0.8, 0.1, 0.5, 0.05, 0.7].
Iteration 367. Result MAP=0.043429  Configuration tried: [0.5, 0.8, 0.4, 0.6, 0.05, 0.5].
Iteration 368. Result MAP=0.042068  Configuration tried: [0.6, 0.5, 0.1, 1, 0.4, 0.7].
Iteration 369. Result MAP=0.042631  Configuration tried: [0.5, 0.9, 0.2, 0.8, 0.4, 0.6].
Iteration 370. Result MAP=0.042744  Configuration tried: [0.8, 0.7, 0.1, 1, 0.4, 0.7].
Iteration 371. Result MAP=0.043800  Configuration tried: [0.5, 0.9, 0.2, 0.9, 0.2, 0.6].
Iteration 372. Result MAP=0.042785  Configuration tried: [1, 0.6, 0.3, 0.9, 0.4, 0.3].
Iteration 373. Result MAP=0.042115  Configuration tried: [0.8, 0.5, 0.5, 0.7, 0.4, 0.7].
Iteration 374. Result MAP=0.044095  Configuration tried: [0.9, 0.6, 0.3, 0.6, 0.15, 0.3].
Iteration 375. Result MAP=0.043509  Configuration tried: [1, 0.6, 0.1, 1, 0.3, 0.4].
Iteration 376. Result MAP=0.043780  Configuration tried: [0.7, 0.6, 0.3, 0.9, 0.2, 0.3].
Iteration 377. Result MAP=0.043553  Configuration tried: [0.5, 1, 0.1, 0.6, 0.1, 0.4].
Iteration 378. Result MAP=0.044249  Configuration tried: [0.8, 0.5, 0.2, 0.7, 0.1, 0.3].
Iteration 379. Result MAP=0.042822  Configuration tried: [0.7, 0.9, 0.1, 0.6, 0.4, 0.7].
Iteration 380. Result MAP=0.043365  Configuration tried: [0.5, 0.8, 0.5, 1, 0.3, 0.6].
Iteration 381. Result MAP=0.043934  Configuration tried: [0.6, 0.9, 0.2, 0.7, 0.15, 0.6].
Iteration 382. Result MAP=0.044233  Configuration tried: [0.7, 0.5, 0.1, 0.9, 0.05, 0.4].
Iteration 383. Result MAP=0.043548  Configuration tried: [0.8, 1, 0.5, 0.9, 0.05, 0.7].
Iteration 384. Result MAP=0.044076  Configuration tried: [0.9, 0.9, 0.3, 1, 0.1, 0.3].
Iteration 385. Result MAP=0.043112  Configuration tried: [0.8, 0.9, 0.3, 1, 0.4, 0.3].
Iteration 386. Result MAP=0.043549  Configuration tried: [0.8, 0.6, 0.1, 0.5, 0.2, 0.4].
Iteration 387. Result MAP=0.044025  Configuration tried: [0.7, 0.8, 0.2, 0.9, 0.15, 0.7].
Iteration 388. Result MAP=0.044018  Configuration tried: [1, 1, 0.3, 0.5, 0.15, 0.6].
Iteration 389. Result MAP=0.043639  Configuration tried: [0.8, 0.6, 0.2, 0.8, 0.2, 0.3].
Iteration 390. Result MAP=0.043929  Configuration tried: [0.7, 0.9, 0.2, 0.7, 0.1, 0.6].
Iteration 391. Result MAP=0.044204  Configuration tried: [1, 0.8, 0.5, 1, 0.15, 0.5].
Iteration 392. Result MAP=0.043478  Configuration tried: [0.6, 0.7, 0.5, 1, 0.3, 0.7].
Iteration 393. Result MAP=0.042041  Configuration tried: [0.7, 0.6, 0.5, 0.5, 0.4, 0.5].
Iteration 394. Result MAP=0.042935  Configuration tried: [1, 0.8, 0.3, 0.5, 0.4, 0.6].
Iteration 395. Result MAP=0.043627  Configuration tried: [0.8, 1, 0.3, 1, 0.3, 0.5].
Iteration 396. Result MAP=0.043002  Configuration tried: [0.6, 1, 0.3, 0.8, 0.05, 0.3].
Iteration 397. Result MAP=0.043896  Configuration tried: [0.8, 1, 0.4, 1, 0.1, 0.5].
Iteration 398. Result MAP=0.042768  Configuration tried: [0.6, 0.9, 0.4, 0.6, 0.4, 0.6].
Iteration 399. Result MAP=0.043357  Configuration tried: [0.8, 1, 0.4, 0.5, 0.05, 0.7].


FINAL RESULT
Best config is [1, 0.7, 0.3, 1, 0.1, 0.5] with an incredible MAP of 0.044326
